x-axis,1
second,Volt
+95.76000E-03,+2.40716080E+00
+95.79200E-03,+2.40716080E+00
+95.82400E-03,+2.40716080E+00
+95.85600E-03,+2.40716080E+00
+95.88800E-03,+2.40716080E+00
+95.92000E-03,+2.41092965E+00
+95.95200E-03,+2.41520100E+00
+95.98400E-03,+2.41143216E+00
+96.01600E-03,+2.40716080E+00
+96.04800E-03,+2.40339196E+00
+96.08000E-03,+2.40288945E+00
+96.11200E-03,+2.40339196E+00
+96.14400E-03,+2.40288945E+00
+96.17600E-03,+2.40716080E+00
+96.20800E-03,+2.40716080E+00
+96.24000E-03,+2.40716080E+00
+96.27200E-03,+2.40716080E+00
+96.30400E-03,+2.40339196E+00
+96.33600E-03,+2.40288945E+00
+96.36800E-03,+2.40716080E+00
+96.40000E-03,+2.40716080E+00
+96.43200E-03,+2.40716080E+00
+96.46400E-03,+2.40716080E+00
+96.49600E-03,+2.40716080E+00
+96.52800E-03,+2.40716080E+00
+96.56000E-03,+2.40339196E+00
+96.59200E-03,+2.40288945E+00
+96.62400E-03,+2.40339196E+00
+96.65600E-03,+2.39912060E+00
+96.68800E-03,+2.39912060E+00
+96.72000E-03,+2.39912060E+00
+96.75200E-03,+2.40288945E+00
+96.78400E-03,+2.40339196E+00
+96.81600E-03,+2.39912060E+00
+96.84800E-03,+2.39912060E+00
+96.88000E-03,+2.40288945E+00
+96.91200E-03,+2.40339196E+00
+96.94400E-03,+2.39912060E+00
+96.97600E-03,+2.40288945E+00
+97.00800E-03,+2.40716080E+00
+97.04000E-03,+2.40339196E+00
+97.07200E-03,+2.39912060E+00
+97.10400E-03,+2.39912060E+00
+97.13600E-03,+2.39912060E+00
+97.16800E-03,+2.40288945E+00
+97.20000E-03,+2.40339196E+00
+97.23200E-03,+2.39535176E+00
+97.26400E-03,+2.39861809E+00
+97.29600E-03,+2.40339196E+00
+97.32800E-03,+2.39535176E+00
+97.36000E-03,+2.39484925E+00
+97.39200E-03,+2.39912060E+00
+97.42400E-03,+2.39912060E+00
+97.45600E-03,+2.39912060E+00
+97.48800E-03,+2.39912060E+00
+97.52000E-03,+2.39535176E+00
+97.55200E-03,+2.39861809E+00
+97.58400E-03,+2.40339196E+00
+97.61600E-03,+2.39912060E+00
+97.64800E-03,+2.39535176E+00
+97.68000E-03,+2.39861809E+00
+97.71200E-03,+2.40339196E+00
+97.74400E-03,+2.39912060E+00
+97.77600E-03,+2.39912060E+00
+97.80800E-03,+2.39912060E+00
+97.84000E-03,+2.39912060E+00
+97.87200E-03,+2.39912060E+00
+97.90400E-03,+2.39912060E+00
+97.93600E-03,+2.39535176E+00
+97.96800E-03,+2.39108040E+00
+98.00000E-03,+2.39484925E+00
+98.03200E-03,+2.39912060E+00
+98.06400E-03,+2.39912060E+00
+98.09600E-03,+2.39535176E+00
+98.12800E-03,+2.39484925E+00
+98.16000E-03,+2.39912060E+00
+98.19200E-03,+2.39912060E+00
+98.22400E-03,+2.39535176E+00
+98.25600E-03,+2.39108040E+00
